Span length [km],Fiber 1,Fiber 2,Fiber 3,Fiber 4
109.0,11.786176959044301,13.697925462723576,14.598523680213795,15.563490050310286
110.0,11.720209810599158,13.650181926703473,14.545300037627134,15.521470504315591
111.0,11.607095649017985,13.556022228232841,14.445481940637507,15.433358863059983
112.0,11.51168666733539,13.47835910627568,14.362921528612896,15.36203583241184
113.0,11.416402003596696,13.400708316731178,14.280532934169326,15.290910865595894
114.0,11.352154777563907,13.366299366710617,14.22921820327095,15.250891147846579
115.0,11.25734202904007,13.290908553680781,14.14739168525465,15.180377710836346
116.0,11.162665662931408,13.213776876198837,14.065742073629924,15.110063534456563
117.0,11.06812184887059,13.138200284970475,13.984267586532546,15.03994886074171
118.0,10.973719321263058,13.062795669665139,13.902973327630846,14.970040850933184
119.0,10.91174627665413,13.019853025340915,13.854154987385979,14.932621590195671
120.0,10.817867432989596,12.945044364841454,13.773469168186956,14.863371054293928
121.0,10.70611439925316,12.853236649723081,13.675474392135072,14.7773045869621
122.0,10.612505057620789,12.778747501264927,13.595138480472151,14.70844056503483
123.0,10.519050287096261,12.704451649264119,13.515002642125559,14.639793408405286
124.0,10.42575686967811,12.630344913640624,13.435065451833132,14.57136653903181
125.0,10.332630506503785,12.556430592656174,13.355331787954126,14.503175304149494
126.0,10.239678607858147,12.482711219860638,13.275806350602046,14.435212211142105
127.0,10.146926013771559,12.409190344391002,13.196489126295763,14.367476971168923
128.0,10.054346118907707,12.335876984265138,13.117388300831838,14.29997451839254
129.0,9.961945848618443,12.262764217807895,13.038499563443043,14.232712914454964
130.0,9.869737420830473,12.189863772259432,12.959835080764586,14.16568840907822
131.0,9.759328230886348,12.099598928629227,12.863544115274934,14.081531437031519
132.0,9.66747073799783,12.027094373732973,12.785301806877914,14.014960600422254
133.0,9.575806597714177,11.954807829531127,12.707292685251236,13.948639913579132
134.0,9.48434789672909,11.882747493753797,12.629524545145735,13.88257545339498
135.0,9.356458823058716,11.774270148734143,12.515348496748864,13.780122202765519
136.0,9.265116359252898,11.702366707228311,12.437758408315894,13.714265668136285
137.0,9.173991062906186,11.6306968718731,12.360415449792114,13.648677603413724
138.0,9.083089378172849,11.559266479157273,12.283329133378924,13.583351076394974
139.0,8.992411009782236,11.488081872909135,12.206491722793196,13.518298441834578
140.0,8.90196658498301,11.417152014578228,12.129925742986643,13.4535247442394
141.0,8.793045683046978,11.328529868295579,12.03545543356865,13.371335227772157
142.0,8.66445050677804,11.21948087443607,11.920796401092534,13.268495783315553
143.0,8.574369671288324,11.14897894650018,11.844678474832612,13.204206698309573
144.0,8.48454279053828,11.078747247862877,11.768837323281481,13.140218102129772
145.0,8.394969672391257,11.008789177357006,11.688812973811558,13.076526521265325
146.0,8.266000513023634,10.899451449739704,11.588996769869379,12.973479725116297
147.0,8.176608425465995,10.82969561161855,11.513786094670255,12.91003878355556
